clusters_sub	cell_types
ASGR1_CD45_UNB_P4_5_26	2	Kupffer cell
ASGR1_CD45_UNB_P4_5_30	4	EPCAM+
ASGR1_CD45_UNB_P4_5_50	25	Kupffer cell
ASGR1_CD45_UNB_P4_5_61	4	EPCAM+
ASGR1_CD45_UNB_P4_6_106	6	Kupffer cell
ASGR1_CD45_UNB_P4_6_116	4	EPCAM+
ASGR1_CD45_UNB_P4_6_150	7	EPCAM+
ASGR1_CD45_UNB_P4_6_151	2	Kupffer cell
ASGR1_CD45_UNB_P4_6_166	7	EPCAM+
ASGR1_CD45_UNB_P4_6_171	4	EPCAM+
ASGR1_CD45_UNB_P4_6_173	2	Kupffer cell
ASGR1_CD45_UNB_P4_6_179	2	Kupffer cell
ASGR1_CD45_UNB_P4_6_181	6	Kupffer cell
ASGR1_CD45_UNB_P4_7_2	2	Kupffer cell
ASGR1_CD45_UNB_P4_7_14	4	EPCAM+
ASGR1_CD45_UNB_P4_7_40	25	Kupffer cell
ASGR1_CD45_UNB_P4_7_54	7	EPCAM+
ASGR1_CD45_UNB_P4_7_55	9	LSEC
ASGR1_CD45_UNB_P4_7_61	4	EPCAM+
ASGR1_CD45_UNB_P4_7_65	2	Kupffer cell
ASGR1_CD45_UNB_P4_7_96	2	Kupffer cell
ASGR1_CD45_UNB_P4_7_168	2	Kupffer cell
ASGR1_CD45_UNB_P4_7_173	17	Hepatocytes
ASGR1_CD45_UNB_P4_7_184	2	Kupffer cell
ASGR1_CD45_UNB_P4_7_187	7	EPCAM+
ASGR1_CD45_UNB_P4_8_103	25	Kupffer cell
ASGR1_CD45_UNB_P4_8_144	11	Hepatocytes
ASGR1_CD45_UNB_P4_8_159	13	LSEC
ASGR1_CD45_UNB_P4_8_168	2	Kupffer cell
ASGR1_CD45_UNB_P4_8_173	11	Hepatocytes
ASGR1_CD45_UNB_P4_8_184	2	Kupffer cell
ASGR1_CD45_UNB_P4_8_187	7	EPCAM+
ASGR1pos304_5_6	14	Hepatocytes
ASGR1pos304_5_7	14	Hepatocytes
ASGR1pos304_5_8	11	Hepatocytes
ASGR1pos304_5_11	11	Hepatocytes
ASGR1pos304_5_18	14	Hepatocytes
ASGR1pos304_5_20	11	Hepatocytes
ASGR1pos304_5_28	14	Hepatocytes
ASGR1pos304_5_36	14	Hepatocytes
ASGR1pos304_5_39	14	Hepatocytes
ASGR1pos304_5_52	14	Hepatocytes
ASGR1pos304_5_55	11	Hepatocytes
ASGR1pos304_5_56	14	Hepatocytes
ASGR1pos304_5_61	14	Hepatocytes
ASGR1pos304_5_78	14	Hepatocytes
ASGR1pos304_5_84	17	Hepatocytes
ASGR1pos304_5_89	11	Hepatocytes
ASGR1pos304_6_106	14	Hepatocytes
ASGR1pos304_6_108	11	Hepatocytes
ASGR1pos304_6_114	14	Hepatocytes
ASGR1pos304_6_115	14	Hepatocytes
ASGR1pos304_6_125	11	Hepatocytes
ASGR1pos304_6_127	11	Hepatocytes
ASGR1pos304_6_131	11	Hepatocytes
ASGR1pos304_6_136	14	Hepatocytes
ASGR1pos304_6_137	14	Hepatocytes
ASGR1pos304_6_143	14	Hepatocytes
ASGR1pos304_6_150	14	Hepatocytes
ASGR1pos304_6_154	14	Hepatocytes
ASGR1pos304_6_161	11	Hepatocytes
ASGR1pos304_6_163	14	Hepatocytes
ASGR1pos304_6_167	2	Kupffer cell
ASGR1pos304_6_172	14	Hepatocytes
ASGR1pos304_6_182	11	Hepatocytes
ASGR1pos304_6_188	14	Hepatocytes
ASGR1pos304_6_190	11	Hepatocytes
ASGR1pos304_7_6	14	Hepatocytes
ASGR1pos304_7_7	14	Hepatocytes
ASGR1pos304_7_13	14	Hepatocytes
ASGR1pos304_7_20	14	Hepatocytes
ASGR1pos304_7_22	11	Hepatocytes
ASGR1pos304_7_24	14	Hepatocytes
ASGR1pos304_7_30	14	Hepatocytes
ASGR1pos304_7_32	14	Hepatocytes
ASGR1pos304_7_38	11	Hepatocytes
ASGR1pos304_7_43	14	Hepatocytes
ASGR1pos304_7_45	2	Kupffer cell
ASGR1pos304_7_53	14	Hepatocytes
ASGR1pos304_7_55	11	Hepatocytes
ASGR1pos304_7_70	11	Hepatocytes
ASGR1pos304_7_75	11	Hepatocytes
ASGR1pos304_7_78	14	Hepatocytes
ASGR1pos304_7_81	14	Hepatocytes
ASGR1pos304_7_89	6	Kupffer cell
ASGR1pos304_7_93	14	Hepatocytes
ASGR1pos304_7_94	14	Hepatocytes
ASGR1pos304_8_101	14	Hepatocytes
ASGR1pos304_8_103	14	Hepatocytes
ASGR1pos304_8_108	11	Hepatocytes
ASGR1pos304_8_110	11	Hepatocytes
ASGR1pos304_8_114	14	Hepatocytes
ASGR1pos304_8_127	14	Hepatocytes
ASGR1pos304_8_129	14	Hepatocytes
ASGR1pos304_8_146	14	Hepatocytes
ASGR1pos304_8_150	2	Kupffer cell
ASGR1pos304_8_153	11	Hepatocytes
ASGR1pos304_8_155	11	Hepatocytes
ASGR1pos304_8_173	14	Hepatocytes
ASGR1pos304_8_177	11	Hepatocytes
ASGR1pos304_8_183	14	Hepatocytes
ASGR1pos304_8_186	14	Hepatocytes
ASGR1pos304_8_188	14	Hepatocytes
ASGR1pos308_10_99	14	Hepatocytes
ASGR1pos308_10_101	14	Hepatocytes
ASGR1pos308_10_103	14	Hepatocytes
ASGR1pos308_10_104	14	Hepatocytes
ASGR1pos308_10_105	14	Hepatocytes
ASGR1pos308_10_106	14	Hepatocytes
ASGR1pos308_10_107	14	Hepatocytes
ASGR1pos308_10_108	14	Hepatocytes
ASGR1pos308_10_109	17	Hepatocytes
ASGR1pos308_10_110	17	Hepatocytes
ASGR1pos308_10_112	14	Hepatocytes
ASGR1pos308_10_113	14	Hepatocytes
ASGR1pos308_10_114	14	Hepatocytes
ASGR1pos308_10_115	14	Hepatocytes
ASGR1pos308_10_116	14	Hepatocytes
ASGR1pos308_10_119	14	Hepatocytes
ASGR1pos308_10_120	14	Hepatocytes
ASGR1pos308_10_121	14	Hepatocytes
ASGR1pos308_10_122	14	Hepatocytes
ASGR1pos308_10_125	14	Hepatocytes
ASGR1pos308_10_127	14	Hepatocytes
ASGR1pos308_10_128	14	Hepatocytes
ASGR1pos308_10_129	14	Hepatocytes
ASGR1pos308_10_130	14	Hepatocytes
ASGR1pos308_10_132	14	Hepatocytes
ASGR1pos308_10_135	14	Hepatocytes
ASGR1pos308_10_136	14	Hepatocytes
ASGR1pos308_10_137	14	Hepatocytes
ASGR1pos308_10_138	14	Hepatocytes
ASGR1pos308_10_139	14	Hepatocytes
ASGR1pos308_10_140	14	Hepatocytes
ASGR1pos308_10_141	14	Hepatocytes
ASGR1pos308_10_145	14	Hepatocytes
ASGR1pos308_10_146	14	Hepatocytes
ASGR1pos308_10_151	14	Hepatocytes
ASGR1pos308_10_152	14	Hepatocytes
ASGR1pos308_10_153	14	Hepatocytes
ASGR1pos308_10_155	14	Hepatocytes
ASGR1pos308_10_157	14	Hepatocytes
ASGR1pos308_10_158	14	Hepatocytes
ASGR1pos308_10_159	14	Hepatocytes
ASGR1pos308_10_161	14	Hepatocytes
ASGR1pos308_10_163	14	Hepatocytes
ASGR1pos308_10_164	14	Hepatocytes
ASGR1pos308_10_165	14	Hepatocytes
ASGR1pos308_10_167	17	Hepatocytes
ASGR1pos308_10_169	14	Hepatocytes
ASGR1pos308_10_173	14	Hepatocytes
ASGR1pos308_10_175	14	Hepatocytes
ASGR1pos308_10_176	14	Hepatocytes
ASGR1pos308_10_177	14	Hepatocytes
ASGR1pos308_10_180	14	Hepatocytes
ASGR1pos308_10_181	14	Hepatocytes
ASGR1pos308_10_184	14	Hepatocytes
ASGR1pos308_10_186	14	Hepatocytes
ASGR1pos308_10_187	14	Hepatocytes
ASGR1pos308_10_189	14	Hepatocytes
ASGR1pos308_10_190	14	Hepatocytes
ASGR1pos308_10_191	14	Hepatocytes
ASGR1pos308_10_192	14	Hepatocytes
ASGR1pos308_11_1	14	Hepatocytes
ASGR1pos308_11_3	14	Hepatocytes
ASGR1pos308_11_4	17	Hepatocytes
ASGR1pos308_11_6	14	Hepatocytes
ASGR1pos308_11_7	14	Hepatocytes
ASGR1pos308_11_11	17	Hepatocytes
ASGR1pos308_11_13	14	Hepatocytes
ASGR1pos308_11_14	17	Hepatocytes
ASGR1pos308_11_15	14	Hepatocytes
ASGR1pos308_11_18	11	Hepatocytes
ASGR1pos308_11_19	17	Hepatocytes
ASGR1pos308_11_20	14	Hepatocytes
ASGR1pos308_11_21	14	Hepatocytes
ASGR1pos308_11_22	14	Hepatocytes
ASGR1pos308_11_23	17	Hepatocytes
ASGR1pos308_11_27	17	Hepatocytes
ASGR1pos308_11_28	17	Hepatocytes
ASGR1pos308_11_29	11	Hepatocytes
ASGR1pos308_11_30	14	Hepatocytes
ASGR1pos308_11_31	2	Kupffer cell
ASGR1pos308_11_32	14	Hepatocytes
ASGR1pos308_11_33	14	Hepatocytes
ASGR1pos308_11_36	17	Hepatocytes
ASGR1pos308_11_38	14	Hepatocytes
ASGR1pos308_11_39	14	Hepatocytes
ASGR1pos308_11_40	14	Hepatocytes
ASGR1pos308_11_45	14	Hepatocytes
ASGR1pos308_11_47	17	Hepatocytes
ASGR1pos308_11_48	14	Hepatocytes
ASGR1pos308_11_51	14	Hepatocytes
ASGR1pos308_11_54	17	Hepatocytes
ASGR1pos308_11_55	14	Hepatocytes
ASGR1pos308_11_56	14	Hepatocytes
ASGR1pos308_11_57	14	Hepatocytes
ASGR1pos308_11_59	14	Hepatocytes
ASGR1pos308_11_63	14	Hepatocytes
ASGR1pos308_11_65	14	Hepatocytes
ASGR1pos308_11_69	14	Hepatocytes
ASGR1pos308_11_72	14	Hepatocytes
ASGR1pos308_11_74	11	Hepatocytes
ASGR1pos308_11_78	14	Hepatocytes
ASGR1pos308_11_79	17	Hepatocytes
ASGR1pos308_11_80	14	Hepatocytes
ASGR1pos308_11_86	14	Hepatocytes
ASGR1pos308_11_87	17	Hepatocytes
ASGR1pos308_11_91	14	Hepatocytes
ASGR1pos308_11_95	17	Hepatocytes
ASGR1pos308_12_97	14	Hepatocytes
ASGR1pos308_12_98	14	Hepatocytes
ASGR1pos308_12_99	14	Hepatocytes
ASGR1pos308_12_101	14	Hepatocytes
ASGR1pos308_12_102	14	Hepatocytes
ASGR1pos308_12_104	14	Hepatocytes
ASGR1pos308_12_106	14	Hepatocytes
ASGR1pos308_12_108	14	Hepatocytes
ASGR1pos308_12_109	14	Hepatocytes
ASGR1pos308_12_111	14	Hepatocytes
ASGR1pos308_12_113	14	Hepatocytes
ASGR1pos308_12_115	14	Hepatocytes
ASGR1pos308_12_117	14	Hepatocytes
ASGR1pos308_12_122	14	Hepatocytes
ASGR1pos308_12_123	14	Hepatocytes
ASGR1pos308_12_124	14	Hepatocytes
ASGR1pos308_12_127	14	Hepatocytes
ASGR1pos308_12_132	14	Hepatocytes
ASGR1pos308_12_136	14	Hepatocytes
ASGR1pos308_12_137	14	Hepatocytes
ASGR1pos308_12_138	14	Hepatocytes
ASGR1pos308_12_139	14	Hepatocytes
ASGR1pos308_12_140	14	Hepatocytes
ASGR1pos308_12_142	14	Hepatocytes
ASGR1pos308_12_154	14	Hepatocytes
ASGR1pos308_12_158	14	Hepatocytes
ASGR1pos308_12_159	14	Hepatocytes
ASGR1pos308_12_162	11	Hepatocytes
ASGR1pos308_12_164	14	Hepatocytes
ASGR1pos308_12_167	14	Hepatocytes
ASGR1pos308_12_168	14	Hepatocytes
ASGR1pos308_12_170	14	Hepatocytes
ASGR1pos308_12_171	14	Hepatocytes
ASGR1pos308_12_174	14	Hepatocytes
ASGR1pos308_12_175	14	Hepatocytes
ASGR1pos308_12_179	14	Hepatocytes
ASGR1pos308_12_180	14	Hepatocytes
ASGR1pos308_12_183	14	Hepatocytes
ASGR1pos308_12_185	14	Hepatocytes
ASGR1pos308_12_186	14	Hepatocytes
ASGR1pos308_12_189	14	Hepatocytes
ASGR1pos308_9_1	14	Hepatocytes
ASGR1pos308_9_3	14	Hepatocytes
ASGR1pos308_9_4	14	Hepatocytes
ASGR1pos308_9_5	14	Hepatocytes
ASGR1pos308_9_6	14	Hepatocytes
ASGR1pos308_9_8	14	Hepatocytes
ASGR1pos308_9_10	17	Hepatocytes
ASGR1pos308_9_11	14	Hepatocytes
ASGR1pos308_9_14	14	Hepatocytes
ASGR1pos308_9_15	14	Hepatocytes
ASGR1pos308_9_18	14	Hepatocytes
ASGR1pos308_9_19	14	Hepatocytes
ASGR1pos308_9_20	14	Hepatocytes
ASGR1pos308_9_22	2	Kupffer cell
ASGR1pos308_9_23	14	Hepatocytes
ASGR1pos308_9_24	14	Hepatocytes
ASGR1pos308_9_25	14	Hepatocytes
ASGR1pos308_9_26	17	Hepatocytes
ASGR1pos308_9_29	14	Hepatocytes
ASGR1pos308_9_30	14	Hepatocytes
ASGR1pos308_9_31	14	Hepatocytes
ASGR1pos308_9_32	14	Hepatocytes
ASGR1pos308_9_33	14	Hepatocytes
ASGR1pos308_9_34	14	Hepatocytes
ASGR1pos308_9_36	14	Hepatocytes
ASGR1pos308_9_38	14	Hepatocytes
ASGR1pos308_9_39	14	Hepatocytes
ASGR1pos308_9_40	14	Hepatocytes
ASGR1pos308_9_41	14	Hepatocytes
ASGR1pos308_9_43	17	Hepatocytes
ASGR1pos308_9_44	14	Hepatocytes
ASGR1pos308_9_48	14	Hepatocytes
ASGR1pos308_9_49	14	Hepatocytes
ASGR1pos308_9_52	14	Hepatocytes
ASGR1pos308_9_55	14	Hepatocytes
ASGR1pos308_9_56	14	Hepatocytes
ASGR1pos308_9_57	14	Hepatocytes
ASGR1pos308_9_58	14	Hepatocytes
ASGR1pos308_9_59	14	Hepatocytes
ASGR1pos308_9_60	14	Hepatocytes
ASGR1pos308_9_61	14	Hepatocytes
ASGR1pos308_9_62	14	Hepatocytes
ASGR1pos308_9_63	14	Hepatocytes
ASGR1pos308_9_65	14	Hepatocytes
ASGR1pos308_9_66	14	Hepatocytes
ASGR1pos308_9_67	14	Hepatocytes
ASGR1pos308_9_69	14	Hepatocytes
ASGR1pos308_9_70	14	Hepatocytes
ASGR1pos308_9_71	17	Hepatocytes
ASGR1pos308_9_72	17	Hepatocytes
ASGR1pos308_9_73	14	Hepatocytes
ASGR1pos308_9_75	14	Hepatocytes
ASGR1pos308_9_76	17	Hepatocytes
ASGR1pos308_9_80	14	Hepatocytes
ASGR1pos308_9_81	14	Hepatocytes
ASGR1pos308_9_85	17	Hepatocytes
ASGR1pos308_9_86	14	Hepatocytes
ASGR1pos308_9_88	14	Hepatocytes
ASGR1pos308_9_89	14	Hepatocytes
